url,id,region,province,locality,zip_code,Longitude,Latitude,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state,energy_type,EPC_score,EnergyConsumptionPerSqm,parking_outdoor,parking_indoor,price_per_sqm
https://www.immoweb.be/en/classified/apartment/for-sale/sint-pieters-leeuw/1600/11172812,11172812.0,Flanders,Flemish Brabant,Sint-Pieters-Leeuw,1600.0,4.2856758,50.7915154,APARTMENT,APARTMENT,299000.0,2.0,90.0,unknown,0.0,,1,0.0,0,0.0,0.0,2.0,False,unknown,GAS,C,210.0,,,3322.22
https://www.immoweb.be/en/classified/apartment/for-sale/genk/3600/11172804,11172804.0,Flanders,Limburg,Genk,3600.0,5.5234633,50.9408302,APARTMENT,APARTMENT,285000.0,2.0,99.0,USA_HYPER_EQUIPPED,0.0,,1,0.0,0,0.0,0.0,2.0,,AS_NEW,GAS,B,191.0,1.0,1.0,2878.79
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/11172775,11172775.0,Flanders,West Flanders,Oostende,8400.0,2.9123118,51.2185486,APARTMENT,APARTMENT,495000.0,5.0,163.0,unknown,,,0,0.0,0,0.0,0.0,2.0,,GOOD,GAS,B,165.0,,,3036.81
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/11078748,11078748.0,Flanders,Antwerp,Deurne,2100.0,4.4795326,51.2236255,APARTMENT,APARTMENT,229000.0,2.0,100.0,HYPER_EQUIPPED,,,0,0.0,0,0.0,0.0,2.0,,AS_NEW,GAS,B,113.0,,,2290.0
https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/11149727,11149727.0,Brussels,Brussels,Jette,1090.0,,,APARTMENT,APARTMENT,159000.0,1.0,59.0,SEMI_EQUIPPED,,-1.0,1,10.0,0,0.0,0.0,2.0,,unknown,GAS,G,493.0,,,2694.92
https://www.immoweb.be/en/classified/apartment/for-sale/evergem/9940/11169207,11169207.0,Flanders,East Flanders,Evergem,9940.0,3.7053197,51.1104341,APARTMENT,APARTMENT,279000.0,2.0,95.0,INSTALLED,0.0,,0,0.0,0,0.0,0.0,2.0,False,GOOD,GAS,A,91.0,1.0,,2936.84
https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8430/11169205,11169205.0,Flanders,West Flanders,MIDDELKERKE,8430.0,2.7946151,51.1791531,APARTMENT,APARTMENT,199000.0,1.0,36.0,INSTALLED,1.0,,1,0.0,0,0.0,0.0,2.0,,GOOD,ELECTRIC,E,442.0,,,5527.78
https://www.immoweb.be/en/classified/flat-studio/for-sale/middelkerke/8430/11169204,11169204.0,Flanders,West Flanders,MIDDELKERKE,8430.0,2.8118071,51.1865762,APARTMENT,FLAT_STUDIO,169000.0,0.0,33.0,INSTALLED,1.0,,0,0.0,0,0.0,0.0,2.0,,GOOD,ELECTRIC,D,400.0,,,5121.21
https://www.immoweb.be/en/classified/apartment/for-sale/beersel/1650/11169194,11169194.0,Flanders,Flemish Brabant,Beersel,1650.0,4.3155833,50.7546331,APARTMENT,APARTMENT,225000.0,0.0,107.0,unknown,0.0,,0,0.0,0,0.0,0.0,4.0,False,unknown,GAS,B,168.0,,,2102.8
https://www.immoweb.be/en/classified/duplex/for-sale/seneffe/7180/11169189,11169189.0,Wallonie,Hainaut,Seneffe,7180.0,4.2562955,50.5311123,APARTMENT,DUPLEX,178000.0,2.0,80.0,SEMI_EQUIPPED,0.0,,1,10.0,0,0.0,0.0,2.0,False,GOOD,GAS,C,213.0,,,2225.0
